gene,mean_centered_RNAPIISer5-P_Granule,mean_centered_RNAPIISer5-P_Purkinje,mean_centered_RNAPIISer5-P_MLI1,mean_centered_RNAPIISer5-P_MLI2+PLI,mean_centered_RNAPIISer5-P_Bergmann,normalized_scRNA_count_Granule,normalized_scRNA_count_Purkinje,normalized_scRNA_count_MLI1,normalized_scRNA_count_MLI2+PLI,normalized_scRNA_count_Bergmann,log10_intron_counts_Granule,log10_intron_counts_Purkinje,log10_intron_counts_MLI1,log10_intron_counts_MLI2+PLI,log10_intron_counts_Bergmann,intron_counts_Granule,intron_counts_Purkinje,intron_counts_MLI1,intron_counts_MLI2+PLI,intron_counts_Bergmann
Lrrc7,0.0210225,0.051400999999999995,0.3729595,0.4289745,0.0,-0.529670445020999,-0.613684072267377,1.05718281327156,1.62595700401897,-0.621598954128557,-2.1923815793846826,-inf,-1.7209857441537404,-1.24551266781415,-inf,0.0064212328767123,0.0,0.0190114068441064,0.0568181818181818,0.0
Sh3rf3,0.0,0.17212000000000005,0.3494900000000001,0.68008,0.24721000000000015,-0.596810289966966,-0.687477218890167,0.501490508230006,1.7504076633393837,-0.509280409458881,-3.368472838440384,-inf,-2.4199557484897687,-inf,-inf,0.0004280821917808,0.0,0.0038022813688212,0.0,0.0
Cntn4,0.0,0.90357,1.18116,1.5432299999999999,0.1489630000000001,-0.375422965166703,-0.210879706652718,1.6348387096631,2.228278572606505,-0.473889213120385,-2.8913515837207218,-2.1072099696478683,-1.9428344937700983,-1.9444826721501711,-inf,0.0012842465753424,0.0078125,0.0114068441064638,0.0113636363636363,0.0
Pam,0.0,0.40736300000000003,0.79007,0.8357749999999999,0.431731,-0.979148770473811,-1.05034621743517,1.10096473028577,1.45662605422652,-0.785054048371745,-2.669502834104345,-1.505149978319906,-1.4657132390504335,-1.4673614174305074,-2.71432975974524,0.0021404109589041,0.03125,0.0342205323193916,0.034090909090909,0.0019305019305019
Nxph1,0.0,0.404275,0.38324999999999987,1.2418,0.11182500000000001,-0.426652335018858,-0.419771211199352,-0.399509028007937,2.609894829999305,-0.431178407435963,-2.0462535437064453,-1.505149978319906,-inf,0.10859577133325113,-1.7143297597452332,0.0089897260273972,0.03125,0.0,1.2840909090909092,0.0193050193050193
Cacna2d3,0.0,0.5100100000000001,1.49926,1.58456,0.46938,-0.412512780358823,-0.516203608410117,1.16385864343699,2.239130465174835,-0.52831174039062,-2.1923815793846826,-2.1072099696478683,-2.1189257528257817,-1.24551266781415,-2.71432975974524,0.0064212328767123,0.0078125,0.0076045627376425,0.0568181818181818,0.0019305019305019
Camta1,0.23895,0.0,0.8312999999999999,0.7431999999999999,0.10565000000000002,0.843436504017033,0.262767368957425,1.30266726926306,1.864281014755065,-0.707318835838538,-1.9705328297683262,-1.3290587192642247,-2.4199557484897687,-inf,-1.8692317197309767,0.0107020547945205,0.046875,0.0038022813688212,0.0,0.0135135135135135
Upp2,0.038015000000000077,0.12526500000000007,0.776615,0.7673150000000002,0.0,0.442898093473316,0.194183589573074,1.66076242222036,1.55799098394101,-0.748847490357968,-3.067442842776403,-1.806179973983887,-2.1189257528257817,-inf,-inf,0.0008561643835616,0.015625,0.0076045627376425,0.0,0.0
Me3,0.030285000000000006,0.360865,0.38770499999999997,0.66513,0.0,0.0655015381669914,-0.359661841481627,1.06523841994316,1.51165510239871,-0.803527982715507,-3.067442842776403,-inf,-2.1189257528257817,-1.9444826721501711,-inf,0.0008561643835616,0.0,0.0076045627376425,0.0113636363636363,0.0
Zfpm2,0.22672,0.0,0.7177750000000002,1.0353350000000001,0.32792500000000013,0.6894419,-0.5660285,0.9199814,2.2868775,0.1789987,-1.988261596728757,-1.630088714928206,-1.306012396182921,-0.9444826721501688,-2.71432975974524,0.0102739726027397,0.0234375,0.0494296577946768,0.1136363636363636,0.0019305019305019
Epb41l3,0.0,0.6710150000000001,0.8595650000000001,0.685165,0.03353500000000009,0.1975647,0.4469234,1.387037,1.3061105,-1.087743,-1.988261596728757,-1.1072099696478683,-1.9428344937700983,-1.9444826721501711,-2.71432975974524,0.0102739726027397,0.078125,0.0114068441064638,0.0113636363636363,0.0019305019305019
Nrxn3,0.42977000000000004,0.49971000000000004,1.35199,1.07489,0.0,0.2910984,-0.1140666,1.810797,1.7044420000000002,-0.1728002,-1.4142303290010378,-1.630088714928206,-1.9428344937700983,-1.9444826721501711,-2.112269768417272,0.0385273972602739,0.0234375,0.0114068441064638,0.0113636363636363,0.0077220077220077
Ppm1l,0.0,0.16150000000000012,0.4268900000000001,0.6659150000000001,0.14598000000000008,0.517481772184764,-0.297621811602949,1.10189097129538,1.9163214212791804,-0.588140135832561,-1.5831430034295955,-1.0658172844896434,-0.9575577505908021,-1.0413926851582251,-2.112269768417272,0.0261130136986301,0.0859375,0.1102661596958174,0.0909090909090909,0.0077220077220077
Fam155a,0.0,0.51118,1.1878,0.9959,0.2669299999999999,0.03092718789055,0.395583573888597,1.00317596362987,0.778533082807948,-0.153878086865934,-1.5903215880567185,-0.3590219426416679,-1.0220157398177203,-1.0413926851582251,-1.8112397727532907,0.0256849315068493,0.4375,0.0950570342205323,0.0909090909090909,0.0154440154440154
Fam189a1,0.07857500000000006,0.36551500000000003,0.8067150000000001,0.5442150000000001,0.0,-0.513086999792147,0.693473268678811,1.22367295076214,1.6081161801439463,-0.668080236344267,-2.4653828514484277,-2.1072099696478683,-2.1189257528257817,-1.9444826721501711,-2.71432975974524,0.0034246575342465,0.0078125,0.0076045627376425,0.0113636363636363,0.0019305019305019
Chchd3,0.0,0.702265,1.263205,0.873005,0.505735,-0.23975471758567,0.566873314092707,1.0295773414262,0.6883814671717865,-0.35525789920038,-2.006745002422769,-1.630088714928206,-2.4199557484897687,-1.6434526764861879,-inf,0.0098458904109589,0.0234375,0.0038022813688212,0.0227272727272727,0.0
Spock3,0.0,0.7318849999999999,0.930585,0.9227549999999998,0.40946699999999997,-0.596671231033355,0.240915743067895,1.22144916098548,1.7202502345174566,0.163606001394204,-3.368472838440384,-1.505149978319906,-2.1189257528257817,-1.1663314217665255,-2.4132997640812586,0.0004280821917808,0.03125,0.0076045627376425,0.0681818181818181,0.0038610038610038
Kcnq1,0.0,0.45030000000000003,0.9431999999999999,0.5662999999999999,0.24335000000000007,-0.54629029577598,0.0334854124734645,1.11135805684,1.0112531825092286,-0.833043226432879,,,,,,,,,,
Sntg1,0.0,0.3575910000000001,0.8407099999999998,0.8677149999999999,0.4027635000000001,-0.583594684372582,-0.0492316815126637,1.33031395775276,1.556458410440105,-0.596784992746229,-3.067442842776403,-2.1072099696478683,-2.4199557484897687,-inf,-2.71432975974524,0.0008561643835616,0.0078125,0.0038022813688212,0.0,0.0019305019305019
Dscam,0.0,0.9348000000000001,1.2986,1.0733,0.652585,-0.5378573,0.01533708,0.7791801,0.7117697000000001,-0.5656983,-3.067442842776403,-1.630088714928206,-1.7209857441537404,-1.9444826721501711,-inf,0.0008561643835616,0.0234375,0.0190114068441064,0.0113636363636363,0.0
Ntm,0.17354999999999987,0.2098,0.4354,0.48730000000000007,0.0,0.4229469,1.000761,1.105887,1.3832335,0.5763258,-0.3799138815617464,-0.020850138973120137,-0.6875619886667894,-0.400414627799893,-0.7952516673691592,0.4169520547945205,0.953125,0.2053231939163498,0.3977272727272727,0.1602316602316602
Mdga2,0.0,0.8098699999999999,0.9782899999999999,1.3491749999999998,0.4952179999999998,-0.8597474,0.3486652,0.5583102,1.8351886,-0.07241143,-3.067442842776403,-0.42596873227228116,-1.0775330676675519,-0.7403626894942439,-1.8692317197309767,0.0008561643835616,0.375,0.0836501901140684,0.1818181818181818,0.0135135135135135
Inpp4b,0.0,0.27017,1.457115,1.116615,0.057554999999999995,-0.131903063211259,-0.81567090045634,1.99523129558178,1.712753300918975,-0.806671525587033,-1.4493947460642882,-2.1072099696478683,-0.30936603819050895,-0.36469907553335845,-2.237208505025577,0.0355308219178082,0.0078125,0.4904942965779467,0.4318181818181818,0.0057915057915057
Myo16,0.0,0.46670999999999996,1.252085,1.116185,0.62891,-0.689768481436998,-0.651125059328662,1.88269096511554,1.3728100003044,1.06814304058745,-2.0897192374875337,-1.505149978319906,-0.3707377258195763,-0.33169881543043317,-0.7698470875950646,0.0081335616438356,0.03125,0.4258555133079847,0.4659090909090909,0.1698841698841698
Hcn1,0.0,1.08268,1.2954700000000001,1.0020850000000001,0.19189000000000012,-0.2855538,0.1446395,2.47957,1.58227765,-0.6138934,-1.863322860120456,-0.7849906749139491,-0.5811066577525025,-0.5827548361325758,-2.4132997640812586,0.0136986301369863,0.1640625,0.2623574144486692,0.2613636363636363,0.0038610038610038
Kirrel3,0.38883500000000004,0.0,1.190575,0.662525,0.1886850000000001,0.7584271,-0.6212415,2.970814,0.704999,-0.3598936,-1.113200333337056,-1.806179973983887,-0.2615932563945082,-0.7683914130944876,-1.8692317197309767,0.0770547945205479,0.015625,0.5475285171102662,0.1704545454545454,0.0135135135135135
Grik3,0.0,0.0470600000000001,0.83836,0.7205600000000001,0.11236000000000002,-0.583105030859939,-0.590315994534872,1.88587846612722,1.70932591534942,-0.578933134948503,-2.414230329001048,-1.806179973983887,-0.5811066577525025,-0.6892101670468627,-2.71432975974524,0.0038527397260273,0.015625,0.2623574144486692,0.2045454545454545,0.0019305019305019
Sema3e,0.10438,0.0,0.49576,0.392395,0.16116,-0.548376060091006,-0.55402417564519,2.17222879010589,0.1383180850663145,-0.502616552821634,-inf,-inf,-inf,-inf,-2.71432975974524,0.0,0.0,0.0,0.0,0.0019305019305019
Zfp423,0.0,0.04730999999999996,0.6011099999999999,0.26151,0.16820999999999986,-0.447686175916071,-0.512861662942124,2.19897488731747,1.450461190792665,-0.698150153796396,-1.863322860120456,-1.630088714928206,-1.039744506778152,-1.24551266781415,-1.8692317197309767,0.0136986301369863,0.0234375,0.091254752851711,0.0568181818181818,0.0135135135135135
Erc2,0.0,0.7816700000000001,1.3314700000000002,1.2805700000000002,0.5587500000000001,-0.167410079729574,0.604811827579095,2.56671663351321,1.2356676983796495,-0.445051717706955,-inf,-inf,-2.4199557484897687,-inf,-inf,0.0,0.0,0.0038022813688212,0.0,0.0
Slc24a3,0.0,0.693816,1.293526,1.068176,0.6001110000000001,-0.667302306020676,-0.713493643292681,2.19561852580887,1.0879315929516602,-0.0290287827994426,-2.2892915923927424,-2.1072099696478683,-inf,-inf,-2.71432975974524,0.0051369863013698,0.0078125,0.0,0.0,0.0019305019305019
Hecw1,0.0,0.6024599999999999,0.8446399999999998,0.7090899999999999,0.0626335,-0.06505036,0.1093269,2.831652,1.16995565,-0.6520601,-1.7664128471124014,-0.9030899869919435,-0.888476831447503,-1.3424226808222068,-1.9361785093615926,0.0171232876712328,0.125,0.1292775665399239,0.0454545454545454,0.0115830115830115
Rora,0.0,0.4111,0.8594000000000002,0.6637000000000002,0.27280000000000015,-0.2429158,-0.4041908,2.78161,1.169366495,0.2126216,-1.7886892418235525,0.06888128940781288,-0.7209857441537392,-1.24551266781415,-1.091080469347333,0.0162671232876712,1.171875,0.1901140684410646,0.0568181818181818,0.081081081081081
Cacna1d,0.0,0.31416999999999995,1.13442,1.1905199999999998,0.31931999999999994,0.015132355843366,-0.628444873332953,2.62166374378153,1.0254636779181363,-0.602672798337488,-2.1643528557844403,-1.806179973983887,-1.4199557484897583,-1.6434526764861879,-2.71432975974524,0.0068493150684931,0.015625,0.0380228136882129,0.0227272727272727,0.0019305019305019
Btbd11,0.0,0.38107,0.92826,0.68481,0.4602100000000001,-0.365647668503035,-0.657309938815195,2.61351129435529,1.50691551038995,-0.543547248506635,-2.414230329001048,-2.1072099696478683,-1.9428344937700983,-1.9444826721501711,-2.237208505025577,0.0038527397260273,0.0078125,0.0114068441064638,0.0113636363636363,0.0057915057915057
Asic2,0.0,0.06930000000000014,0.8206500000000001,0.4054000000000002,0.11185,-0.5126372,-0.4301277,2.389026,0.99360485,0.008344012,-2.368472838440364,-1.630088714928206,-0.30601239618292114,-inf,-2.237208505025577,0.0042808219178082,0.0234375,0.494296577946768,0.0,0.0057915057915057
Xkr4,0.0,0.62496,1.1118350000000001,0.8126199999999999,0.10913000000000009,0.053301807083357,-0.222646551888885,2.44585346186495,1.1763992387980935,-0.67988081151102,-3.368472838440384,-inf,-1.9428344937700983,-inf,-inf,0.0004280821917808,0.0,0.0114068441064638,0.0,0.0
Unc5c,0.018970000000000015,0.2265299999999999,0.6991449999999999,0.702755,0.0,-0.0086372564666962,-0.388275569978352,1.67087532022229,1.5624968575136848,-0.745383460982024,-2.5903215880567236,-2.1072099696478683,-1.8178957571617975,-1.9444826721501711,-2.4132997640812586,0.0025684931506849,0.0078125,0.0152091254752851,0.0113636363636363,0.0038610038610038
Adamts2,0.033989999999999854,0.0,0.8954399999999999,0.4649899999999999,0.22799000000000003,-0.595704,-0.6425107,2.572569,1.6049925,-0.6489645,-2.414230329001048,-inf,-1.0775330676675519,-1.099384632135912,-2.71432975974524,0.0038527397260273,0.0,0.0836501901140684,0.0795454545454545,0.0019305019305019
Plxna4,0.0,0.85875,1.5316500000000002,0.8373499999999999,0.5673499999999999,-0.419157022926017,0.0219668201333374,3.18400657561474,0.2631581655762095,-0.736814046736966,-3.368472838440384,-1.630088714928206,-1.118925752825777,-inf,-2.71432975974524,0.0004280821917808,0.0234375,0.0760456273764258,0.0,0.0019305019305019
Sorcs3,0.0,0.5289789999999999,1.5544490000000002,0.624914,0.631979,-0.3498237,-0.3594967,3.873497,-0.33642055,-0.3549732,-3.067442842776403,-1.806179973983887,-0.40711852378458563,-inf,-inf,0.0008561643835616,0.015625,0.3916349809885932,0.0,0.0
Grid1,0.0,0.622665,1.720835,0.6887,0.8105450000000001,-0.611600905516853,-0.623315802698076,2.95438624568059,-0.0476159483897195,0.167345707769391,-2.5903215880567236,-inf,-1.516865761497815,-inf,-2.0153597554092166,0.0025684931506849,0.0,0.0304182509505703,0.0,0.0096525096525096
Galnt18,0.0,0.3009200000000001,1.04767,0.3237700000000001,0.26417,-0.381342744505879,-0.459827793426378,3.04861832349706,-0.4120925073575885,-0.0677631864816064,-1.863322860120456,-1.806179973983887,-0.06012026614986987,-inf,-1.4590572546419276,0.0136986301369863,0.015625,0.870722433460076,0.0,0.0347490347490347
Adarb2,0.0,0.3496529999999999,1.48082,0.7647399999999998,0.2390839999999999,-0.4759845,-0.4853123,3.247507,0.305803,-0.4398658,-2.1643528557844403,-1.4082399653118496,-0.37463276970310044,-1.6434526764861879,-2.4132997640812586,0.0068493150684931,0.0390625,0.4220532319391635,0.0227272727272727,0.0038610038610038
Plch1,0.0,0.2663419999999999,1.19366,0.6279149999999998,0.2162949999999999,-0.48381959060281,-0.481445229119003,2.92716471301951,-0.0289569163807104,-0.48270614940314,-2.8913515837207218,-1.806179973983887,-1.4657132390504335,-inf,-inf,0.0012842465753424,0.015625,0.0342205323193916,0.0,0.0
Adgrl3,0.0,0.23939,1.42879,0.348455,1.073355,-0.449228172678829,-0.721561888491851,2.51391900385781,-0.45269234812269,2.5389966965637,-2.669502834104345,-inf,-0.6491037368476138,-inf,-0.950901766182296,0.0021404109589041,0.0,0.2243346007604562,0.0,0.1119691119691119
Nell1,0.132435,1.1993449999999999,0.340125,0.29113,0.0,-0.231608093182905,4.00669122355437,-0.240334739228269,-0.21919336918922,-0.232450128385466,-3.368472838440384,-0.9932666173410316,-inf,-inf,-inf,0.0004280821917808,0.1015625,0.0,0.0,0.0
Cdh18,0.36739499999999997,0.8046149999999999,0.10533499999999998,0.26680699999999996,0.0,0.6125184,3.848094,-0.3787736,-0.234268135,-0.3951274,-1.863322860120456,-1.0658172844896434,-inf,-inf,-inf,0.0136986301369863,0.0859375,0.0,0.0,0.0
Arhgap26,0.11852000000000018,0.7249300000000001,0.0,0.27058000000000004,0.2689300000000001,0.448403,3.123069,-0.5462785,0.0862939999999999,0.1239548,-1.8913515837207013,-0.06581728448964333,-inf,-inf,-inf,0.0128424657534246,0.859375,0.0,0.0,0.0
Cntnap5b,0.0,1.437535,0.42743499999999995,0.4996650000000001,0.43729999999999997,-0.240173126813023,4.00627373448558,-0.242809607828863,-0.2047296272823945,-0.243255418554507,-3.067442842776403,-0.32905871926422475,-2.4199557484897687,-inf,-2.71432975974524,0.0008561643835616,0.46875,0.0038022813688212,0.0,0.0019305019305019
Kcnip1,0.14997500000000002,0.9321250000000001,0.123245,0.0,0.420675,-0.2215872,3.95709,-0.2941669,-0.29408035,-0.06948074,-2.368472838440364,-1.2621119296336116,-2.4199557484897687,-inf,-inf,0.0042808219178082,0.0546875,0.0038022813688212,0.0,0.0
Dpp10,0.0,1.4746299999999999,0.2934514999999999,0.5657099999999999,0.14242999999999992,0.263779361722571,3.62448017538183,-0.343008029092999,-0.426035166604545,-0.437191342952223,-1.8369939213981081,-0.028028723600243537,-1.8178957571617975,-inf,-inf,0.0145547945205479,0.9375,0.0152091254752851,0.0,0.0
Shank2,0.0,0.96379,1.0011899999999998,0.6101900000000001,0.21828999999999998,-0.648119357787082,2.82422656434209,1.60021820230031,0.289256811270577,-0.658725766584378,-2.327080153282141,-0.13872702109393326,-0.9014418086118706,-1.3424226808222068,-2.4132997640812586,0.004708904109589,0.7265625,0.1254752851711026,0.0454545454545454,0.0038610038610038
Cacnb2,0.0,0.81762,0.7517049999999998,0.42253999999999997,0.44028,-0.887050184744591,2.51954412334976,0.541730346030731,0.0568289774121642,-0.541451449388391,-2.2892915923927424,-0.6600519383056491,-inf,-inf,-2.71432975974524,0.0051369863013698,0.21875,0.0,0.0,0.0019305019305019
Lrfn5,0.0,1.218545,0.775745,0.9140499999999999,0.62883,-0.6160334,2.270237,0.3087855,0.9811199,-0.6332587,-2.1923815793846826,-0.5631419252975928,-1.6418044981061153,-1.6434526764861879,-2.71432975974524,0.0064212328767123,0.2734375,0.0228136882129277,0.0227272727272727,0.0019305019305019
Shisa6,0.0,0.832055,0.592605,0.21992500000000004,0.48755499999999996,-0.497547,3.35266,1.288497,0.1071018999999999,-0.4741177,-2.1643528557844403,-0.24388710952741247,-1.3407745024421331,-1.6434526764861879,-2.4132997640812586,0.0068493150684931,0.5703125,0.0456273764258555,0.0227272727272727,0.0038610038610038
Thsd7a,0.0,0.9288399999999999,0.88313,0.7637049999999999,0.30805999999999994,-0.870931950683399,2.95124204652079,1.42835634780071,0.4869536805447004,-0.462541132824142,-3.067442842776403,-0.5757310526056132,-1.3407745024421331,-inf,-inf,0.0008561643835616,0.265625,0.0456273764258555,0.0,0.0
Dner,0.014204999999999995,1.84047,1.2670700000000001,0.57167,0.0,-0.60750312681015,3.2551011217587,0.723759225347227,0.393087701351841,-0.61821856887255,-2.8913515837207218,-0.031663008255337605,-1.306012396182921,-1.4673614174305074,-2.71432975974524,0.0012842465753424,0.9296875,0.0494296577946768,0.034090909090909,0.0019305019305019
Sox5,0.0,0.95898,0.35345000000000004,0.2057729999999999,1.100525,-0.698493981464968,1.1913768530492,-0.750990922233681,-0.7437910650887896,1.45930639443827,-inf,-2.1072099696478683,-inf,-inf,-inf,0.0,0.0078125,0.0,0.0,0.0
Gm29536,0.0,0.8952360000000001,0.526606,0.19153599999999998,0.8640760000000001,0.0031184370333341,1.18892753258366,-0.0224197321830701,-0.0665493849722621,1.18753047762977,,,,,,,,,,
Rasal2,0.0,1.3179515,0.4363914999999999,0.38959649999999996,0.9769715,-0.74296702573771,2.05726021353523,-0.727979162691514,-0.702770772501975,0.537571154349442,-3.368472838440384,-0.8767610482695944,-inf,-inf,-2.237208505025577,0.0004280821917808,0.1328125,0.0,0.0,0.0057915057915057
Magi2,0.0,0.798802,0.532527,0.725457,0.936392,-0.292694572263093,1.4936119498487,0.0788671184758178,0.5081803514635683,1.35111343601822,-2.523374798426113,-1.505149978319906,-2.1189257528257817,-1.9444826721501711,-inf,0.0029965753424657,0.03125,0.0076045627376425,0.0113636363636363,0.0
Dgki,0.0,0.9941490000000001,0.950129,1.0365490000000002,0.354059,-0.182168232553439,1.2696162025823,1.14260840948122,0.8966071022495525,-0.748468055151604,-inf,-0.9932666173410316,-2.4199557484897687,-1.9444826721501711,-inf,0.0,0.1015625,0.0038022813688212,0.0113636363636363,0.0
